file_name,province,year,num_all,num_c1,num_c2,num_c3,num_c4,num_c5,TV_S,TV_D,TV_O,A_S,temperature,rain,death
alborz-1395,Alborz,1395,492768581,444467578,22836036,7477670,7076848,10910449,51254930,96977037,937695,69.90431083,17.2,242.3,180
alborz-1396,Alborz,1396,515748213,466775950,21700373,8979560,9423573,8868757,47331086,112896705,988281,67.80253164,17.2,225.9,145
alborz-1397,Alborz,1397,534003291,490011336,16990789,8245891,9097411,9657864,41253161,120978996,958915,65.73990307,17.6,203.4,182
alborz-1398,Alborz,1398,505759374,470872177,11043247,5974327,8185359,9684264,34216876,112732269,758237,65.84802499,17.5,157.8,172
alborz-1399,Alborz,1399,422717481,392195987,11302875,5798356,5099122,8321141,31036762,83927866,700800,65.11920792,19,118.9,181
alborz-1400,Alborz,1400,489035861,457183881,12586779,6182907,6116117,6966177,33535694,104818700,694692,69.09653844,18.9,215.5,206
alborz-1401,Alborz,1401,546653192,515862848,12136249,6038162,6550848,6065085,32732308,152025155,1226166,67.93823582,19.3,225.7,246
alborz-1402,Alborz,1402,551128208,518338894,12508203,5852075,8041547,6387489,38810481,140411579,630253,68.5798541,17.9,160.3,207
alborz-1403,Alborz,1403,578340746,543509164,14270555,6217688,6378470,7964869,59335495,153199548,464939,69.29342641,19.2,223.5,149
ardabil-1395,Ardabil,1395,73032446,64796136,2609347,2773844,856396,1996723,3779076,9287500,1159638,66.19583411,10.3,273,126
ardabil-1396,Ardabil,1396,86614565,77562755,3178854,2875056,975843,2022057,6229218,12306086,1205887,70.63155184,10.6,247.4,114
ardabil-1397,Ardabil,1397,102134812,91642438,3018220,3879830,1068653,2525671,7147495,15214890,1544232,70.07928311,10.4,213.9,174
ardabil-1398,Ardabil,1398,103200168,92977448,2946410,3838001,958704,2479605,6681980,15485853,1674052,69.59915666,11.4,272.1,137
ardabil-1399,Ardabil,1399,88621353,78253848,3023055,3826720,828062,2689668,6243204,11409371,1461730,69.94316877,11.7,253.9,169
ardabil-1400,Ardabil,1400,116278756,103882071,3888477,4419410,971658,3117140,6653663,20552813,1371423,68.51355997,11.2,153.5,169
ardabil-1401,Ardabil,1401,141311657,128842727,4053716,3973365,926193,3515656,8801792,27166243,1044208,69.89317971,11,116.9,191
ardabil-1402,Ardabil,1402,147083585,133624015,4526192,3908842,1047871,3976665,11526187,25609317,861542,72.42342644,12.8,153.5,178
ardabil-1403,Ardabil,1403,150211801,135890298,4613659,3884761,1149996,4673087,11621564,22157012,970773,73.78301922,10.9,185.4,189
boyer-1395,Kohgiluyeh and Boyer-Ahmad,1395,23950892,21112672,1712696,251438,445437,428649,2763065,3770289,1198266,67.17931244,15.6,790.5,128
boyer-1396,Kohgiluyeh and Boyer-Ahmad,1396,34365719,30938602,2216668,170743,741053,298653,4419052,1129762,513605,71.08187122,15.5,785.6,129
boyer-1397,Kohgiluyeh and Boyer-Ahmad,1397,37564310,34607142,1615006,287770,647997,406395,3482588,4256446,701158,70.69568584,16.1,713.6,137
boyer-1398,Kohgiluyeh and Boyer-Ahmad,1398,41110156,36631694,2422651,651500,620634,783677,2705251,5954368,665446,68.58478124,15.9,683.3,163
boyer-1399,Kohgiluyeh and Boyer-Ahmad,1399,35922947,31990043,2070774,669782,297989,894359,2013000,3631300,1353252,69.56547804,15.8,654.2,150
boyer-1400,Kohgiluyeh and Boyer-Ahmad,1400,38381024,32823402,2913020,876816,516099,1251687,1749015,4838490,431489,67.32301449,16.4,750.8,190
boyer-1401,Kohgiluyeh and Boyer-Ahmad,1401,60255487,54041552,3324240,878257,192364,1819074,1825124,9161399,669810,69.05337749,16.9,716.1,215
boyer-1402,Kohgiluyeh and Boyer-Ahmad,1402,64496591,58745473,2813696,729223,227969,1980230,2670890,7875562,450873,69.79111794,16.7,694.5,183
boyer-1403,Kohgiluyeh and Boyer-Ahmad,1403,63083592,56955880,2922491,702250,239706,2263265,3425140,7012259,516049,71.09324392,18.3,629.7,175
bushehr-1395,Bushehr,1395,95960296,84578439,4012407,2292691,1317719,3759040,10868595,9803020,2217286,81.15023889,25.2,247,223
bushehr-1396,Bushehr,1396,119596370,104438959,5406224,3015269,2021100,4714818,14669621,10211198,652431,80.37489798,25.4,244.3,200
bushehr-1397,Bushehr,1397,128152949,112842195,4507549,4159821,1565816,5077568,10682055,14774965,532101,81.29793842,26.2,222.3,191
bushehr-1398,Bushehr,1398,133466118,116872518,4585362,4988717,1829161,5190360,8708248,15986486,612614,80.72392897,26.5,225,264
bushehr-1399,Bushehr,1399,112528660,97354912,3829558,4603489,1466451,5274250,5150863,11478195,405607,77.78965181,25.8,239.1,204
bushehr-1400,Bushehr,1400,125615179,109958525,4721915,3825837,1415804,5693098,9844960,18249196,316153,78.23768454,26.8,182.7,230
bushehr-1401,Bushehr,1401,151017687,134381773,5948374,3191610,1347161,6148769,19481469,27509063,312437,82.48644724,27.5,150.2,273
bushehr-1402,Bushehr,1402,154554649,138072533,5306505,3159998,1456566,6559047,19079713,27653044,285927,82.84652391,28.1,190.9,281
bushehr-1403,Bushehr,1403,173325372,155558712,5328113,3147936,1295066,7995545,23989809,33247489,359174,82.353497,28.2,278,209
esfahan-1395,Isfahan,1395,225420333,171354981,18841473,9487773,8119652,17616454,25303406,20939483,401150,80.62174731,16.3,100.5,619
esfahan-1396,Isfahan,1396,267721262,209548010,19195281,9438703,8322257,21217011,23999190,28274174,620289,80.5920406,16.6,107,591
esfahan-1397,Isfahan,1397,332710273,261326546,24991581,12720991,8152836,25518319,25570657,35175149,773800,79.36473487,16.9,74.5,686
esfahan-1398,Isfahan,1398,318037743,246223572,22987616,13723694,7078842,28024019,42768751,48083455,625188,82.25175135,17.3,99.3,629
esfahan-1399,Isfahan,1399,243803013,181221221,18701363,13349782,6142309,24388338,31486394,38828535,1605716,81.12957401,17.6,37.3,535
esfahan-1400,Isfahan,1400,277101037,210914361,25195648,12608051,4367718,24015259,28385447,36373437,956646,81.00431816,18.3,48.7,669
esfahan-1401,Isfahan,1401,472703905,371503036,51919718,10943653,3947113,34390385,35927561,51802753,672683,81.72013357,18,175,714
esfahan-1402,Isfahan,1402,405100192,320815216,21847844,21269472,7148308,34019352,61368380,77380843,35136,88.34089387,17,146,778
esfahan-1403,Isfahan,1403,268558478,216303369,14522577,12523395,4181606,21027531,44253483,68946161,12498,90.29238897,18.8,69.7,672
fars-1395,Fars,1395,248702442,208647266,16377237,6597710,5618797,11461432,25161499,37795590,1137707,79.937281,18.3,317.8,991
fars-1396,Fars,1396,318475493,269599209,18998121,7974528,6702215,15201420,28725630,55746329,1019425,82.23642034,18.7,284.4,966
fars-1397,Fars,1397,368509404,317504453,19662317,8733952,6840924,15767758,34881553,66119424,1093693,82.69314131,18.8,254.6,968
fars-1398,Fars,1398,375276321,321886021,19923343,9520174,6383142,17563641,34763622,67933525,1077912,83.63573553,18.6,303.5,906
fars-1399,Fars,1399,308312833,258404048,18621398,9305764,5294603,16687020,29781143,51065783,1188480,82.61194207,18.9,302.6,792
fars-1400,Fars,1400,320809121,273594782,17395798,8992252,4913646,15912643,32311791,57388948,1170706,83.02807506,19.6,164.2,941
fars-1401,Fars,1401,457986252,396560155,20264860,12375484,3571127,25214626,22054781,125295116,313494,74.76641126,18.8,278.3,1080
fars-1402,Fars,1402,490129051,423939069,22317551,12475824,4053027,27343580,24743198,133908107,149221,73.40009716,19.9,107.9,1060
fars-1403,Fars,1403,470979347,407932258,21352132,11332413,4553429,25809115,26053563,129504154,302591,71.91333563,19.8,175.6,858
gharbi-1395,West Azerbaijan,1395,87796040,75412267,5058998,2340454,1003797,3980524,10592072,12610570,2204680,75.43741243,12.3,332,405
gharbi-1396,West Azerbaijan,1396,126716418,108970534,7051488,4853346,846236,4994814,16938025,14220079,3152765,77.29301229,12.7,304.1,405
gharbi-1397,West Azerbaijan,1397,153403158,133486794,8273489,5183678,1657177,4802020,11776896,17325314,2806452,75.20411732,12.7,279.5,374
gharbi-1398,West Azerbaijan,1398,148264429,130701987,5897947,4562360,1815216,5286919,11762139,11385152,3510944,75.77902143,13.4,284.1,457
gharbi-1399,West Azerbaijan,1399,132230378,116344961,4852302,4581655,1581491,4869969,9028994,8458701,3068766,74.37761467,13.5,243.2,373
