iter	RMSE
0	226.5670154
1	221.2233136
2	216.3666715
3	211.9850003
4	207.5397269
5	203.3772114
6	198.8543426
7	194.496182
8	191.1489022
9	187.945615
10	184.1206805
11	181.1444923
12	177.709187
13	174.4110948
14	171.5356056
15	168.9612786
16	166.0397278
17	163.4606448
18	161.4771615
19	158.9820422
20	156.7519033
21	154.372482
22	152.6162454
23	150.6722309
24	149.3433548
25	147.946307
26	146.8108532
27	145.2511543
28	144.3493195
29	142.6437172
30	141.0670618
31	139.6242141
32	138.6597966
33	137.5278197
34	136.3659888
35	134.5240095
36	133.3094043
37	132.2343103
38	131.0670042
39	130.3382059
40	129.9708697
41	128.4422398
42	127.8114336
43	127.3187071
44	126.566261
45	126.2170511
46	125.2506805
47	124.6745691
48	123.8799274
49	123.282234
50	122.6916905
51	121.6957183
52	120.92573
53	120.1477023
54	119.6448823
55	119.0193993
56	118.2510581
57	117.2980307
58	117.020231
59	116.6335649
60	116.1609028
61	115.578814
62	115.281869
63	114.8529471
64	114.2947862
65	114.03246
66	113.043415
67	112.7232428
68	111.741997
69	111.3929992
70	110.7115883
71	109.9065203
72	109.2692083
73	109.0167683
74	108.9069311
75	108.5372692
76	108.4360181
77	108.1543253
78	107.7920724
79	107.1153694
80	106.7054908
81	106.4545705
82	105.9133302
83	105.2920295
84	105.1545684
85	105.0887231
86	104.4232204
87	103.8608716
88	103.4077033
89	102.9622554
90	102.7973098
91	102.4206729
92	101.9670481
93	101.5870768
94	101.3299523
95	100.8473713
96	100.6050188
97	100.6043565
98	99.84908348
99	99.54903673
100	98.96108091
101	98.6693269
102	98.49228525
103	98.24489912
104	98.00172188
105	97.57816524
106	97.3010622
107	96.67613166
108	96.58453501
109	96.26070925
110	95.94228995
111	95.70227567
112	95.39407161
113	94.76076895
114	94.73219528
115	93.93892187
116	93.6808429
117	93.2774558
118	93.00308366
119	92.70235835
120	92.45745774
121	92.34608066
122	92.00742262
123	91.5494008
124	91.30463404
125	90.96230447
126	90.38351412
127	90.17308459
128	89.71580412
129	89.04060254
130	88.87174335
131	88.8705902
132	88.63266966
133	88.63153971
134	88.08050126
135	87.68130058
136	87.56162917
137	87.07778626
138	86.74156639
139	86.53972773
140	86.29948108
141	85.96157491
142	85.81212839
143	85.66229712
144	85.51924647
145	85.37698046
146	85.16795346
147	84.79989134
148	84.63841744
149	84.34451629
150	84.21255098
151	84.04780185
152	83.92370587
153	83.80626759
154	83.64866583
155	83.34109392
156	83.23480389
157	83.09513605
158	83.08143443
159	82.86418417
160	82.47516383
161	82.05842416
162	81.96799312
163	81.85464983
164	81.74670136
165	81.64245281
166	81.44847172
167	81.24747685
168	81.17798475
169	80.81730048
170	80.61606984
171	80.51458919
172	80.40053143
173	80.22824533
174	80.13494743
175	79.98266224
176	79.81184611
177	79.79847865
178	79.68533236
179	79.60095969
180	79.46458854
181	79.45177102
182	79.43928767
183	79.42312512
184	79.3109444
185	78.82371903
186	78.41209568
187	78.33079873
188	78.1576126
189	78.1456254
190	78.0311494
191	77.92468028
192	77.61060147
193	77.43930784
194	77.22643375
195	76.95180387
196	76.78936242
197	76.77741373
198	76.68602248
199	76.36537553
