iter	Passed	Remaining
0	13	2632
1	28	2837
2	44	2942
3	61	3025
4	71	2793
5	86	2790
6	99	2738
7	114	2739
8	128	2718
9	141	2681
10	154	2648
11	167	2619
12	180	2594
13	194	2586
14	207	2561
15	220	2535
16	233	2512
17	247	2498
18	260	2481
19	274	2466
20	287	2451
21	300	2427
22	309	2379
23	321	2357
24	334	2338
25	346	2320
26	359	2302
27	371	2284
28	383	2263
29	396	2245
30	408	2226
31	420	2209
32	433	2195
33	446	2182
34	460	2169
35	474	2161
36	487	2149
37	500	2134
38	515	2128
39	534	2138
40	553	2146
41	570	2145
42	585	2139
43	600	2130
44	618	2129
45	635	2127
46	651	2121
47	668	2116
48	684	2110
49	700	2102
50	717	2096
51	734	2089
52	749	2079
53	765	2070
54	782	2062
55	798	2053
56	813	2041
57	830	2032
58	846	2023
59	862	2011
60	878	2001
61	889	1979
62	905	1968
63	920	1956
64	936	1946
65	952	1934
66	969	1923
67	987	1917
68	1019	1935
69	1035	1923
70	1053	1913
71	1068	1898
72	1082	1883
73	1096	1866
74	1111	1852
75	1124	1834
76	1134	1812
77	1148	1796
78	1161	1779
79	1175	1763
80	1188	1745
81	1200	1727
82	1214	1711
83	1225	1693
84	1238	1676
85	1250	1658
86	1266	1644
87	1286	1637
88	1307	1630
89	1329	1624
90	1346	1612
91	1359	1596
92	1373	1580
93	1388	1565
94	1401	1549
95	1415	1533
96	1430	1518
97	1437	1496
98	1451	1480
99	1464	1464
100	1477	1448
101	1490	1431
102	1503	1415
103	1515	1398
104	1527	1382
105	1540	1366
106	1553	1350
107	1565	1333
108	1577	1317
109	1589	1300
110	1602	1284
111	1614	1268
112	1627	1253
113	1640	1237
114	1651	1220
115	1663	1204
116	1675	1188
117	1688	1173
118	1700	1157
119	1712	1141
120	1724	1125
121	1736	1110
122	1749	1095
123	1761	1079
124	1775	1065
125	1787	1049
126	1799	1034
127	1812	1019
128	1824	1004
129	1838	989
130	1850	974
131	1857	956
132	1870	942
133	1877	924
134	1890	910
135	1904	896
136	1916	881
137	1929	866
138	1942	852
139	1955	838
140	1968	823
141	1983	810
142	1996	795
143	2009	781
144	2023	767
145	2037	753
146	2050	739
147	2063	724
148	2075	710
149	2088	696
150	2101	681
151	2113	667
152	2126	653
153	2138	638
154	2150	624
155	2163	610
156	2175	595
157	2187	581
158	2199	567
159	2211	552
160	2223	538
161	2234	524
162	2247	510
163	2259	495
164	2273	482
165	2285	468
166	2297	454
167	2309	439
168	2322	426
169	2334	412
170	2347	398
171	2362	384
172	2377	370
173	2392	357
174	2407	343
175	2421	330
176	2436	316
177	2451	302
178	2465	289
179	2487	276
180	2504	262
181	2517	248
182	2531	235
183	2544	221
184	2555	207
185	2569	193
186	2582	179
187	2594	165
188	2609	151
189	2621	137
190	2636	124
191	2649	110
192	2661	96
193	2676	82
194	2689	68
195	2703	55
196	2716	41
197	2729	27
198	2744	13
199	2757	0
